run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5409999180000026,0.6141567716860006,0.073156853685998,0.2,0.5,0.7
20251224-133747_seed2_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5413399173200026,0.6192287615420011,0.07788884422199849,0.2,0.5,0.7
20251224-133831_seed3_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5412999174000034,0.6152747694500008,0.07397485204999743,0.2,0.5,0.7
20251224-133914_seed4_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5412999174000024,0.620602758794001,0.07930284139399857,0.2,0.5,0.7
20251224-133958_seed5_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,100,0.1,0.05,90,0.0,0.0,20,3,0.541259917480003,0.6221117557760003,0.08085183829599729,0.2,0.5,0.7
20251224-134042_seed6_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5409599180800033,0.6191417617160004,0.07818184363599712,0.2,0.5,0.7
20251224-134129_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5407799184400031,0.610669778660001,0.06988986021999799,0.2,0.5,0.7
20251224-134214_seed8_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5412399175200029,0.6175057649880007,0.0762658474679978,0.2,0.5,0.7
20251224-134300_seed9_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,100,0.1,0.05,90,0.0,0.0,20,3,0.540839918320003,0.6203727592540005,0.07953284093399748,0.2,0.5,0.7
20251224-134347_seed10_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5417999164000025,0.6186527626940006,0.07685284629399813,0.2,0.5,0.7
20251224-134432_seed11_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5414399171200024,0.6171937656120002,0.07575384849199784,0.2,0.5,0.7
20251224-134516_seed12_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5416199167600025,0.6202037595920006,0.07858384283199804,0.2,0.5,0.7
20251224-134600_seed13_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5416399167200023,0.613465773068001,0.07182585634799865,0.2,0.5,0.7
20251224-134644_seed14_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5406599186800032,0.6183917632160006,0.07773184453599746,0.2,0.5,0.7
20251224-134728_seed15_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5411799176400025,0.6174207651580003,0.07624084751799776,0.2,0.5,0.7
20251224-134813_seed16_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5411199177600026,0.6168617662760008,0.07574184851599819,0.2,0.5,0.7
20251224-134857_seed17_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5412999174000023,0.624932750134,0.08363283273399769,0.2,0.5,0.7
20251224-134941_seed18_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,100,0.1,0.05,90,0.0,0.0,20,3,0.540139919720003,0.6209277581440005,0.0807878384239975,0.2,0.5,0.7
20251224-135025_seed19_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5407799184400025,0.5892158215679995,0.04843590312799695,0.2,0.5,0.7
20251224-135110_seed20_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5411999176000031,0.5403289193419998,-0.0008709982580032971,0.2,0.5,0.7
