run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251224-080655_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5329799340400039,0.5794208411580023,0.04644090711799842,0.2,0.3,0.5
20251224-080739_seed2_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5330399339200044,0.5923468153060003,0.059306881385995935,0.2,0.3,0.5
20251224-080823_seed3_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5334999330000046,0.5907058185880006,0.057205885587996,0.2,0.3,0.5
20251224-080906_seed4_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5332399335200043,0.5925478149039999,0.059307881383995564,0.2,0.3,0.5
20251224-080951_seed5_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5336999326000045,0.5524878950239994,0.01878796242399494,0.2,0.3,0.5
20251224-081035_seed6_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5332199335600045,0.5861408277180001,0.05292089415799561,0.2,0.3,0.5
20251224-081119_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5328999342000038,0.5498999002,0.016999965999996203,0.2,0.3,0.5
20251224-081203_seed8_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5332799334400041,0.5312329375340005,-0.002046995906003657,0.2,0.3,0.5
20251224-081247_seed9_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5328599342800041,0.5879978240039997,0.05513788972399558,0.2,0.3,0.5
20251224-081331_seed10_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5341799316400041,0.6050807898380021,0.07090085819799796,0.2,0.3,0.5
20251224-081415_seed11_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5335199329600043,0.5871648256699997,0.053644892709995395,0.2,0.3,0.5
20251224-081500_seed12_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5334999330000041,0.5974398051200001,0.06393987211999597,0.2,0.3,0.5
20251224-081544_seed13_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5340199319600043,0.5880458239079995,0.05402589194799523,0.2,0.3,0.5
20251224-081628_seed14_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5328399343200038,0.5880338239319999,0.055193889611996116,0.2,0.3,0.5
20251224-081713_seed15_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5333399333200043,0.5857898284199999,0.05244989509999565,0.2,0.3,0.5
20251224-081758_seed16_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5331799336400038,0.6019517960960011,0.06877186245599731,0.2,0.3,0.5
20251224-081842_seed17_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5331399337200045,0.5921668156660006,0.059026881945996146,0.2,0.3,0.5
20251224-081928_seed18_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5325799348400045,0.5937928124139998,0.061212877573995295,0.2,0.3,0.5
20251224-082013_seed19_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5329799340400038,0.5651208697579996,0.03214093571799581,0.2,0.3,0.5
20251224-082057_seed20_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5332999334000041,0.5747158505680006,0.04141591716799642,0.2,0.3,0.5
