run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251223-192926_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600038,0.5967858064280019,0.06186587626799811,0.1,0.5,0.5
20251223-193010_seed2_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.613993772012001,0.07955384089199669,0.1,0.5,0.5
20251223-193054_seed3_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400046,0.57971484057,0.0449349101299954,0.1,0.5,0.5
20251223-193139_seed4_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534899930200004,0.5722278555440001,0.03732792534399609,0.1,0.5,0.5
20251223-193223_seed5_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534939930120004,0.5726088547820004,0.03766892466199645,0.1,0.5,0.5
20251223-193309_seed6_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5350199299600041,0.6070547858900014,0.07203485592999725,0.1,0.5,0.5
20251223-193353_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400034,0.6133597732800009,0.07857984283999753,0.1,0.5,0.5
20251223-193438_seed8_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,100,0.1,0.05,90,0.0,0.0,20,3,0.535039929920004,0.609157781684001,0.07411785176399699,0.1,0.5,0.5
20251223-193523_seed9_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344199311600041,0.5986398027199997,0.06421987155999564,0.1,0.5,0.5
20251223-193607_seed10_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5357799284400035,0.5635278729440005,0.02774794450399698,0.1,0.5,0.5
20251223-193651_seed11_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,100,0.1,0.05,90,0.0,0.0,20,3,0.535439929120004,0.6125397749199999,0.07709984579999585,0.1,0.5,0.5
20251223-193735_seed12_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5352399295200032,0.6049787900420007,0.06973886052199751,0.1,0.5,0.5
20251223-193820_seed13_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5353199293600037,0.5958518082959997,0.060531878935995986,0.1,0.5,0.5
20251223-193904_seed14_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5346399307200038,0.5799878400240002,0.04534790930399635,0.1,0.5,0.5
20251223-193948_seed15_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600043,0.5995998008,0.0646798706399957,0.1,0.5,0.5
20251223-194032_seed16_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200034,0.5297719404559995,-0.004667990664003918,0.1,0.5,0.5
20251223-194117_seed17_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534759930480004,0.606187787624,0.07142785714399602,0.1,0.5,0.5
20251223-194202_seed18_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,100,0.1,0.05,90,0.0,0.0,20,3,0.533979932040004,0.6156287687419998,0.08164883670199574,0.1,0.5,0.5
20251223-194246_seed19_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5345399309200036,0.5774548450900018,0.04291491416999815,0.1,0.5,0.5
20251223-194331_seed20_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349999300000043,0.5980388039220003,0.06303887392199592,0.1,0.5,0.5
