run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,1,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5349199301600038,0.5372359255280015,0.0023159953679976475
20251223-133417_seed2_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,2,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5344399311200043,0.538882922234001,0.004442991113996708
20251223-133502_seed3_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,3,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5347799304400046,0.516559966880003,-0.01821996356000155
20251223-133546_seed4_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,4,500,100,0.1,0.05,60,0.0,0.0,20,3,0.534899930200004,0.5318009363980009,-0.0030989938020031804
20251223-133630_seed5_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,5,500,100,0.1,0.05,60,0.0,0.0,20,3,0.534939930120004,0.5135689728620028,-0.0213709572580012
20251223-133714_seed6_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,6,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5350199299600041,0.522191955616004,-0.012827974344000181
20251223-133758_seed7_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,7,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5347799304400034,0.523010953978002,-0.011768976462001368
20251223-133841_seed8_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,8,500,100,0.1,0.05,60,0.0,0.0,20,3,0.535039929920004,0.5161949676100026,-0.018844962310001434
20251223-133925_seed9_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,9,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5344399311200043,0.5582448835100002,0.023804952389995915
20251223-134008_seed10_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,10,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5357799284400035,0.5244339511320041,-0.011345977307999466
20251223-134051_seed11_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,11,500,100,0.1,0.05,60,0.0,0.0,20,3,0.535439929120004,0.5444029111940007,0.008962982073996706
20251223-134135_seed12_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,12,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5352399295200032,0.534787930424001,-0.0004519990960022424
20251223-134218_seed13_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,13,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5353199293600037,0.5501428997140005,0.014822970353996823
20251223-134302_seed14_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,14,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5346399307200038,0.5208509582980034,-0.01378897242200039
20251223-134345_seed15_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,15,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5349199301600043,0.5485609028780003,0.013640972717996025
20251223-134429_seed16_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,16,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5344399311200034,0.5319979360040014,-0.0024419951160020714
20251223-134512_seed17_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,17,500,100,0.1,0.05,60,0.0,0.0,20,3,0.534759930480004,0.5252429495140041,-0.009516980965999955
20251223-134556_seed18_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,18,500,100,0.1,0.05,60,0.0,0.0,20,3,0.533979932040004,0.5206739586520037,-0.013305973388000325
20251223-134640_seed19_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,19,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5345399309200036,0.5411249177500024,0.006584986829998751
20251223-134724_seed20_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,20,500,100,0.1,0.05,60,0.0,0.0,20,3,0.5349999300000043,0.5137559724880031,-0.021243957512001255
