tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,1,0.5455109089780017,0.00044967617776240775,0.45448909102199836,0.0004496761777623927
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,2,0.6125277749440009,0.004178041554161039,0.38747222505599904,0.004178041554161054
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,3,0.697295605408,0.0025409653087400037,0.30270439459199994,0.002540965308739995
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,4,0.7479695040599993,0.0023099691780356212,0.2520304959400007,0.0023099691780356234
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,5,0.7823014353959996,0.002418092719627152,0.2176985646040004,0.0024180927196271497
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,6,0.8073893852199993,0.0025424967909981476,0.19261061478000072,0.002542496790998134
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,7,0.8263853472279991,0.002518508308914593,0.1736146527720009,0.002518508308914611
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,8,0.8413233173519993,0.002606986195770385,0.15867668264800067,0.0026069861957704146
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,9,0.8532452935079993,0.002460410961857537,0.14675470649200062,0.002460410961857539
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,10,0.8628962742059996,0.002477015964638305,0.13710372579400046,0.0024770159646382976
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,11,0.8687932624119995,0.004572191063031721,0.13120673758800053,0.004572191063031722
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,12,0.8652472695039994,0.004547676955913022,0.13475273049600045,0.004547676955913029
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,13,0.8616832766319995,0.0046487827356673965,0.1383167233680005,0.004648782735667384
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,14,0.8580462839059996,0.004632644969917771,0.14195371609400048,0.0046326449699177295
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,15,0.8542882914219995,0.004694621250321087,0.14571170857800053,0.004694621250321088
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,16,0.8506122987739992,0.004660201991705286,0.14938770122600076,0.004660201991705315
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,17,0.8467423065139992,0.004758580610158091,0.15325769348600082,0.004758580610158063
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,18,0.8429993139999994,0.00477474864221177,0.15700068600000067,0.004774748642211765
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,19,0.8391343217299992,0.004745416561785776,0.16086567827000076,0.004745416561785763
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,20,0.8353013293959991,0.004737579962943956,0.16469867060400073,0.00473757996294392
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,21,0.831472337053999,0.004765684873196634,0.16852766294600086,0.004765684873196636
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,22,0.827571344855999,0.0048210380710715685,0.17242865514400085,0.0048210380710716075
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,23,0.8237713524559991,0.0047700964941383,0.1762286475440009,0.0047700964941383
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,24,0.8198723602539992,0.004829161677349672,0.1801276397460007,0.004829161677349682
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,25,0.8156393687199991,0.0050318086930348045,0.1843606312800008,0.005031808693034818
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,26,0.8064663870659992,0.011207541337230023,0.19353361293400081,0.011207541337230011
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,27,0.7861214277559992,0.02280507191332,0.2138785722440007,0.02280507191331998
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,28,0.7600334799319997,0.02029763580783234,0.2399665200680003,0.02029763580783235
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,29,0.7415345169299996,0.017908815125484336,0.2584654830700004,0.017908815125484326
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,30,0.7298245403499997,0.02534280577689199,0.2701754596500003,0.025342805776891988
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,31,0.7260275479439996,0.02544795380294253,0.2739724520560003,0.0254479538029425
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,32,0.7217855564279998,0.024446608912910697,0.27821444357200015,0.024446608912910704
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,33,0.7196125607739998,0.023862303396941745,0.28038743922600007,0.023862303396941745
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,34,0.7177485645019999,0.023015420142010634,0.2822514354980002,0.02301542014201064
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,35,0.7161145677699998,0.022132661588618856,0.2838854322300001,0.02213266158861887
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,36,0.7145715708559999,0.02123894292747218,0.28542842914400013,0.021238942927472186
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,37,0.7131695736599999,0.020395178979733853,0.28683042634000006,0.020395178979733843
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,38,0.7117965764059999,0.019511706723756583,0.2882034235940001,0.019511706723756548
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,39,0.7104635790719999,0.01870033872831033,0.28953642092800014,0.018700338728310322
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,40,0.7092345815300001,0.017867246773150602,0.29076541847,0.01786724677315062
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,41,0.708098583802,0.017029114296339413,0.291901416198,0.017029114296339406
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,42,0.7070755858479999,0.01626618120875031,0.292924414152,0.016266181208750282
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,43,0.7060365879259999,0.015556176347191414,0.29396341207400006,0.015556176347191432
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,44,0.705015589968,0.01482315503879609,0.294984410032,0.014823155038796084
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,45,0.704066591866,0.01419474199661859,0.29593340813400004,0.014194741996618587
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,46,0.7031635936719999,0.013489469285645426,0.29683640632800007,0.01348946928564542
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,47,0.7023085953819999,0.012854256354951403,0.2976914046180001,0.01285425635495139
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,48,0.7015285969419999,0.012304570125256063,0.29847140305800013,0.012304570125256072
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,49,0.7007745984499998,0.011742889046287145,0.29922540155000016,0.011742889046287163
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,50,0.6999946000099998,0.011199990522898861,0.3000053999900002,0.011199990522898861
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,51,0.6993046013899998,0.010656633390380733,0.30069539861000016,0.010656633390380707
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,52,0.6985806028379998,0.010144191387518367,0.30141939716200017,0.010144191387518351
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,53,0.6979986040019999,0.009661717416994148,0.3020013959980002,0.009661717416994155
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,54,0.6973986052019998,0.009213960597071318,0.30260139479800013,0.00921396059707132
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,55,0.6968396063199999,0.008793956425395754,0.30316039368000014,0.008793956425395752
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,56,0.6963016073959999,0.008404738486091067,0.3036983926040001,0.00840473848609107
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,57,0.6957256085479998,0.008019602274295148,0.30427439145200014,0.008019602274295152
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,58,0.6952306095379999,0.007685184281152264,0.304769390462,0.007685184281152263
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,59,0.694745610508,0.007328298425630733,0.305254389492,0.007328298425630728
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,60,0.6942496115,0.006994060195345153,0.3057503885,0.006994060195345157
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,61,0.69379461241,0.006644797507257073,0.30620538759000004,0.006644797507257053
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,62,0.6933836132319999,0.0063630570394770545,0.3066163867680001,0.006363057039477057
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,63,0.6930076139839999,0.006082987094234782,0.3069923860160001,0.006082987094234813
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,64,0.6926556146879999,0.005835702689749538,0.30734438531200015,0.005835702689749555
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,65,0.6922726154539999,0.005573657303512953,0.3077273845460001,0.005573657303512967
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,66,0.6919456161079999,0.005337554707187828,0.3080543838920001,0.005337554707187803
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,67,0.6916266167459998,0.005116992486543429,0.30837338325400016,0.005116992486543436
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,68,0.6913146173699998,0.004880541868633481,0.30868538263000017,0.0048805418686335075
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,69,0.6902316195359999,0.005250671258881448,0.3097683804640001,0.005250671258881414
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,70,0.6897956204079999,0.005538788336296638,0.3102043795920001,0.005538788336296652
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,71,0.6895536208919999,0.005371089703704024,0.3104463791080002,0.005371089703704017
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,72,0.6893046213899998,0.005188900368842223,0.3106953786100002,0.005188900368842242
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,73,0.6890776218439998,0.005017071944331888,0.3109223781560001,0.005017071944331888
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,74,0.6888586222819998,0.004830845008233179,0.31114137771800016,0.0048308450082331636
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,75,0.6886596226799998,0.004630552828207706,0.31134037732000014,0.004630552828207696
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,76,0.6884866230259998,0.004480072218613434,0.3115133769740002,0.004480072218613425
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,77,0.6883176233639998,0.0043802046446122156,0.31168237663600024,0.004380204644612246
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,78,0.6881646236699998,0.004229974120563835,0.3118353763300002,0.004229974120563842
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,79,0.6879966240059998,0.0040520701150709,0.3120033759940002,0.004052070115070907
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,80,0.6878776242439998,0.003897467231133763,0.3121223757560002,0.0038974672311337536
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,81,0.6877266245459998,0.003778815845978854,0.3122733754540002,0.003778815845978852
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,82,0.6875976248039998,0.003664490338884185,0.3124023751960002,0.0036644903388841745
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,83,0.6874936250119997,0.0035425468553497985,0.3125063749880002,0.003542546855349783
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,84,0.6873816252359998,0.0034630182193816786,0.31261837476400023,0.0034630182193816925
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,85,0.6872686254619997,0.0033638724552525275,0.31273137453800015,0.003363872455252558
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,86,0.6871606256779998,0.0032930960941186527,0.3128393743220002,0.0032930960941186735
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,87,0.6870496258999997,0.00319917441783746,0.31295037410000015,0.003199174417837468
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,88,0.6869356261279999,0.003130943484709178,0.31306437387200015,0.0031309434847091844
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,89,0.6868406263179998,0.003057405759363436,0.31315937368200014,0.0030574057593634237
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,90,0.6867616264759999,0.00299407870633982,0.31323837352400014,0.002994078706339819
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,91,0.5836478327040011,0.0026238159914548937,0.41635216729599883,0.0026238159914548885
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,92,0.5775408449180003,0.002920617560123776,0.4224591550819996,0.002920617560123782
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,93,0.5743998511999999,0.002910729300001772,0.42560014879999997,0.0029107293000017616
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,94,0.5660648678699988,0.0045669010274435855,0.43393513213000123,0.004566901027443606
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,95,0.5630788738419986,0.004901768498887727,0.4369211261580014,0.004901768498887711
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,96,0.5004439991120005,0.02999164385194263,0.4995560008879994,0.02999164385194262
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,97,0.48566102867799976,0.03688268756220279,0.5143389713220002,0.03688268756220279
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,98,0.4832360335279996,0.03720427315842144,0.5167639664720004,0.037204273158421466
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,99,0.48337503324999964,0.036487136536515384,0.5166249667500004,0.03648713653651537
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,100,0.4842060315879997,0.035694400599396235,0.5157939684120003,0.03569440059939624
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,101,0.4854160291679997,0.034796361924116954,0.5145839708320004,0.034796361924116934
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,102,0.4868830262339997,0.033827559344302725,0.5131169737660002,0.033827559344302725
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,103,0.48853502292999973,0.032834661053140965,0.5114649770700002,0.03283466105314094
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,104,0.4932210135580001,0.03111242129092097,0.5067789864419999,0.03111242129092094
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,105,0.4985650028700005,0.030297557080783345,0.5014349971299995,0.030297557080783345
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,106,0.5224879550240014,0.027960190596002556,0.4775120449759987,0.027960190596002552
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,107,0.5271519456960008,0.03339839418243284,0.4728480543039992,0.03339839418243289
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,108,0.5394759210480012,0.026300534224378072,0.46052407895199876,0.026300534224378034
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,109,0.5275949448100015,0.03441775144152948,0.47240505518999854,0.0344177514415295
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,110,0.5256039487920012,0.03985412331897119,0.47439605120799877,0.039854123318971174
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,111,0.5205429589140012,0.03971218847979472,0.4794570410859988,0.03971218847979473
0.1,0.05,0.0,0.0,90,0.2,0.5,0.8,112,0.5233869532260012,0.04208699911750462,0.47661304677399885,0.04208699911750457
