run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20260218-145005_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,130,0.1,0.05,90,0.0,0.0,20,3,0.551699896599999,0.5276129447740032,-0.02408695182599574,0.2,0.5,0.8
20260218-145113_seed2_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,130,0.1,0.05,90,0.0,0.0,20,3,0.552239895519999,0.5476759046480008,-0.004563990871998214,0.2,0.5,0.8
20260218-145220_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5525398949199988,0.5464289071420013,-0.006110987777997456,0.2,0.5,0.8
20260218-145328_seed4_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5524198951599988,0.5836598326800014,0.031239937520002647,0.2,0.5,0.8
20260218-145436_seed5_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,130,0.1,0.05,90,0.0,0.0,20,3,0.552819894359999,0.537306925386003,-0.01551296897399601,0.2,0.5,0.8
20260218-145544_seed6_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5522598954799987,0.5633338733319997,0.011073977852001038,0.2,0.5,0.8
20260218-145653_seed7_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5516598966799988,0.5755788488420012,0.02391895216200235,0.2,0.5,0.8
20260218-145803_seed8_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5523398953199993,0.5505228989540002,-0.0018169963659990795,0.2,0.5,0.8
20260218-145914_seed9_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5519798960399989,0.5129129741740027,-0.03906692186599614,0.2,0.5,0.8
20260218-150022_seed10_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5532398935199988,0.5797538404920003,0.02651394697200149,0.2,0.5,0.8
20260218-150131_seed11_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5525798948399991,0.5417579164840021,-0.010821978355997075,0.2,0.5,0.8
20260218-150241_seed12_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,130,0.1,0.05,90,0.0,0.0,20,3,0.552599894799999,0.49677800644400083,-0.05582188835599822,0.2,0.5,0.8
20260218-150350_seed13_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5532998933999995,0.5421719156560019,-0.011127977743997652,0.2,0.5,0.8
20260218-150458_seed14_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5516398967199992,0.5510768978459997,-0.0005629988739995762,0.2,0.5,0.8
20260218-150606_seed15_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5522198955599997,0.47966304067399956,-0.07255685488600017,0.2,0.5,0.8
20260218-150714_seed16_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5519398961199987,0.5442659114680014,-0.007673984651997312,0.2,0.5,0.8
20260218-150827_seed17_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5521598956799997,0.5216619566760032,-0.030497939003996444,0.2,0.5,0.8
20260218-150937_seed18_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5513398973199994,0.48344303311400016,-0.06789686420599927,0.2,0.5,0.8
20260218-151049_seed19_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5517998963999993,0.4918000164000003,-0.05999987999999895,0.2,0.5,0.8
20260218-151200_seed20_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5523998951999987,0.4913800172400003,-0.06101987795999836,0.2,0.5,0.8
