run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta
20251223-161912_seed1_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,1,500,100,0.1,0.05,,0.0,0.0,20,3,0.5349199301600038,0.6715926568139994,0.13667272665399555
20251223-161955_seed2_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,2,500,100,0.1,0.05,,0.0,0.0,20,3,0.5344399311200043,0.6727926544139999,0.13835272329399562
20251223-162038_seed3_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,3,500,100,0.1,0.05,,0.0,0.0,20,3,0.5347799304400046,0.6056457887080005,0.07086585826799585
20251223-162121_seed4_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,4,500,100,0.1,0.05,,0.0,0.0,20,3,0.534899930200004,0.6383237233520007,0.10342379315199668
20251223-162204_seed5_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,5,500,100,0.1,0.05,,0.0,0.0,20,3,0.534939930120004,0.6199937600120006,0.08505382989199661
20251223-162247_seed6_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,6,500,100,0.1,0.05,,0.0,0.0,20,3,0.5350199299600041,0.6685506628980006,0.13353073293799644
20251223-162330_seed7_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,7,500,100,0.1,0.05,,0.0,0.0,20,3,0.5347799304400034,0.6378877242239999,0.10310779378399648
20251223-162414_seed8_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,8,500,100,0.1,0.05,,0.0,0.0,20,3,0.535039929920004,0.6669386661219999,0.13189873620199588
20251223-162457_seed9_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,9,500,100,0.1,0.05,,0.0,0.0,20,3,0.5344399311200043,0.6732636534719998,0.13882372235199547
20251223-162540_seed10_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,10,500,100,0.1,0.05,,0.0,0.0,20,3,0.5357799284400035,0.6688336623320001,0.1330537338919966
20251223-162624_seed11_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,11,500,100,0.1,0.05,,0.0,0.0,20,3,0.535439929120004,0.65505468989,0.119614760769996
20251223-162708_seed12_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,12,500,100,0.1,0.05,,0.0,0.0,20,3,0.5352399295200032,0.6727086545820005,0.13746872506199725
20251223-162751_seed13_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,13,500,100,0.1,0.05,,0.0,0.0,20,3,0.5353199293600037,0.6555736888520001,0.12025375949199635
20251223-162835_seed14_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,14,500,100,0.1,0.05,,0.0,0.0,20,3,0.5346399307200038,0.6276667446660007,0.09302681394599688
20251223-162918_seed15_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,15,500,100,0.1,0.05,,0.0,0.0,20,3,0.5349199301600043,0.6656946686099999,0.13077473844999565
20251223-163002_seed16_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,16,500,100,0.1,0.05,,0.0,0.0,20,3,0.5344399311200034,0.6680586638820002,0.13361873276199676
20251223-163045_seed17_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,17,500,100,0.1,0.05,,0.0,0.0,20,3,0.534759930480004,0.6778306443380001,0.14307071385799608
20251223-170129_seed18_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,18,500,100,0.1,0.05,,0.0,0.0,20,3,0.533979932040004,0.6468327063340004,0.11285277429399632
20251223-170631_seed19_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,19,500,100,0.1,0.05,,0.0,0.0,20,3,0.5345399309200036,0.6686516626959997,0.1341117317759961
20251223-170715_seed20_N500_T100_tau0.1_sig0.05_scNone_tauA0.0_sigA0.0,20,500,100,0.1,0.05,,0.0,0.0,20,3,0.5349999300000043,0.6397017205960005,0.10470179059599616
