tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,1,0.5340229319540041,0.00037260176629877933,0.4659770680459959,0.000372601766298788
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,2,0.6367697264600006,0.002514655144435386,0.36323027353999937,0.0025146551444354
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,3,0.7055435889119999,0.0033065966685855517,0.294456411088,0.003306596668585547
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,4,0.7514954970079997,0.0034830624606137107,0.24850450299200033,0.0034830624606137124
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,5,0.7838934322119996,0.0035155110486243444,0.2161065677880004,0.003515511048624358
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,6,0.8079293841399992,0.003360428714573431,0.19207061586000085,0.0033604287145734377
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,7,0.826315347367999,0.0032628666027452904,0.17368465263200086,0.003262866602745285
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,8,0.8408263183459992,0.0031350335601046915,0.1591736816540008,0.0031350335601046915
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,9,0.8525092949799994,0.0030242154694809158,0.14749070502000058,0.003024215469480908
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,10,0.8621672756639995,0.002889513576366707,0.13783272433600047,0.002889513576366698
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,11,0.8700702598579996,0.002795520722259551,0.12992974014200037,0.0027955207222595054
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,12,0.8714522570939994,0.005999694221465474,0.12854774290600043,0.005999694221465484
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,13,0.8686422627139994,0.007335511787290166,0.13135773728600056,0.007335511787290156
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,14,0.8648272703439994,0.007415909428254143,0.13517272965600052,0.007415909428254145
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,15,0.8609782780419992,0.0075728435233094185,0.13902172195800078,0.007572843523309429
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,16,0.8570692858599994,0.0075793432365706525,0.14293071414000053,0.007579343236570641
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,17,0.8530302939379995,0.007670671102897866,0.1469697060620005,0.007670671102897868
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,18,0.8490203019579994,0.0077176457184349985,0.15097969804200062,0.007717645718434981
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,19,0.8448733102519992,0.007732573397959958,0.15512668974800076,0.007732573397959958
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,20,0.8408103183779992,0.007800090944268612,0.15918968162200064,0.0078000909442686225
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,21,0.8366493266999993,0.007845437568281696,0.16335067330000072,0.007845437568281688
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,22,0.8323653352679992,0.007726480586781461,0.1676346647320008,0.00772648058678148
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,23,0.8256513486959992,0.006041944378586593,0.17434865130400073,0.00604194437858659
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,24,0.8113233773519992,0.01024589391857229,0.18867662264800075,0.010245893918572255
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,25,0.7879714240559994,0.021856840448050155,0.21202857594400054,0.021856840448050165
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,26,0.7513234973519995,0.029995283928695698,0.2486765026480004,0.02999528392869572
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,27,0.7273755452479996,0.019771370544528072,0.27262445475200037,0.01977137054452809
0.1,0.05,0.0,0.0,90,0.2,0.5,0.3,28,0.7070485859019997,0.031167593960073996,0.29295141409800024,0.031167593960073972
