run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251230-111712_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5287599424800045,0.5302709394580042,0.0015109969779997234,0.2,0.5,0.3
20251230-111809_seed2_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5289799420400046,0.5311139377720047,0.002133995732000016,0.2,0.5,0.3
20251230-111907_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5286999426000049,0.5187129625740037,-0.00998698002600118,0.2,0.5,0.3
20251230-112007_seed4_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5291599416800048,0.5282749434500047,-0.0008849982300001002,0.2,0.5,0.3
20251230-112104_seed5_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5284999430000046,0.5285959428080045,9.599980799990249e-05,0.2,0.5,0.3
20251230-112201_seed6_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5289199421600046,0.5242359515280043,-0.004683990632000312,0.2,0.5,0.3
20251230-112259_seed7_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5282599434800043,0.5261449477100045,-0.002114995769999739,0.2,0.5,0.3
20251230-112356_seed8_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5289199421600042,0.5294799410400042,0.0005599988800000233,0.2,0.5,0.3
20251230-112454_seed9_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5285999428000044,0.5280509438980044,-0.0005489989019999975,0.2,0.5,0.3
20251230-112553_seed10_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5293799412400049,0.5313369373260046,0.0019569960859997515,0.2,0.5,0.3
20251230-112651_seed11_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5293599412800046,0.5307039385920047,0.001343997312000078,0.2,0.5,0.3
20251230-112749_seed12_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5295199409600044,0.5306579386840045,0.0011379977240000283,0.2,0.5,0.3
20251230-112847_seed13_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5294399411200045,0.5276359447280045,-0.001803996392000018,0.2,0.5,0.3
20251230-112946_seed14_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5285799428400041,0.5296439407120044,0.0010639978720002885,0.2,0.5,0.3
20251230-113044_seed15_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5288199423600048,0.5230879538240042,-0.005731988536000654,0.2,0.5,0.3
20251230-113143_seed16_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5285399429200048,0.5301389397220044,0.001598996801999597,0.2,0.5,0.3
20251230-113241_seed17_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5285599428800045,0.5242619514760042,-0.004297991404000334,0.2,0.5,0.3
20251230-113339_seed18_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5278599442800048,0.5276999446000048,-0.00015999968000002252,0.2,0.5,0.3
20251230-113436_seed19_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5284999430000041,0.5239809520380042,-0.004518990961999925,0.2,0.5,0.3
20251230-113533_seed20_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5286199427600042,0.5299329401340045,0.0013129973740002576,0.2,0.5,0.3
