tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,1,0.5390329219340032,0.0003558984460066203,0.4609670780659968,0.0003558984460066009
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,2,0.6409347181300005,0.002453605751208056,0.3590652818699994,0.002453605751208079
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,3,0.7086225827539999,0.003291675277582625,0.2913774172460001,0.0032916752775826374
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,4,0.7535604928779996,0.0033964339137532323,0.24643950712200038,0.0033964339137532384
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,5,0.7852334295319994,0.0035045049699148237,0.21476657046800054,0.0035045049699148124
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,6,0.8086433827119992,0.003331195744187153,0.19135661728800085,0.003331195744187153
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,7,0.8266493466999991,0.0032605229806598984,0.17335065330000088,0.00326052298065989
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,8,0.8408593182799992,0.003112751901594755,0.15914068172000082,0.003112751901594726
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,9,0.8523762952459993,0.0030094197001014913,0.1476237047540006,0.0030094197001014687
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,10,0.8617052765879996,0.002862875414112718,0.1382947234120005,0.002862875414112719
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,11,0.8607612784759994,0.0049415002207095745,0.13923872152400057,0.004941500220709566
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,12,0.8568272863439994,0.004964730589524187,0.1431727136560005,0.004964730589524181
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,13,0.8528142943699996,0.005066581682976413,0.1471857056300004,0.00506658168297641
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,14,0.8487103025779993,0.005086361608274622,0.15128969742200069,0.005086361608274596
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,15,0.8446503106979989,0.005129169321056488,0.155349689302001,0.005129169321056503
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,16,0.8404663190659992,0.005152008309038207,0.15953368093400075,0.005152008309038202
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,17,0.8362773274439993,0.005252417104305707,0.1637226725560007,0.005252417104305715
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,18,0.8321613356759991,0.0052721163610156135,0.16783866432400085,0.005272116361015615
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,19,0.8278713442559991,0.005284952806932089,0.1721286557440009,0.0052849528069320905
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,20,0.8236813526359994,0.005271161902886768,0.17631864736400069,0.005271161902886771
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,21,0.8194473611039994,0.005306479554233415,0.18055263889600057,0.005306479554233424
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,22,0.8152193695599992,0.005279447148483231,0.18478063044000076,0.005279447148483211
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,23,0.810995378007999,0.005320015477810076,0.18900462199200085,0.005320015477810067
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,24,0.8067853864279991,0.005248596736589088,0.19321461357200076,0.005248596736589103
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,25,0.7996924006139993,0.005298049724212871,0.20030759938600068,0.005298049724212882
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,26,0.7819394361199994,0.015614404736807733,0.21806056388000056,0.015614404736807702
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,27,0.7545114909759993,0.021953188105917773,0.24548850902400066,0.021953188105917783
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,28,0.7326895346199996,0.017977283674622136,0.26731046538000036,0.017977283674622157
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,29,0.7237525524939997,0.01635166416654343,0.2762474475060003,0.01635166416654342
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,30,0.7152325695339997,0.022775332913947458,0.2847674304660002,0.022775332913947437
0.1,0.05,0.0,0.0,90,0.2,0.3,0.5,31,0.7120045759899998,0.023401237800046625,0.2879954240100002,0.023401237800046642
