run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251229-124144_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5329799340400039,0.5272629454740045,-0.005716988565999337,0.2,0.3,0.5
20251229-124241_seed2_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5330399339200044,0.5265109469780043,-0.006528986942000103,0.2,0.3,0.5
20251229-124339_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5334999330000046,0.5365609268780015,0.0030609938779968537,0.2,0.3,0.5
20251229-124436_seed4_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5332399335200043,0.5232589534820041,-0.009980980038000187,0.2,0.3,0.5
20251229-124534_seed5_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5336999326000045,0.5405899188200004,0.006889986219995925,0.2,0.3,0.5
20251229-124631_seed6_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5332199335600045,0.5316869366260042,-0.0015329969340003302,0.2,0.3,0.5
20251229-124728_seed7_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5328999342000038,0.5160589678820033,-0.016840966318000472,0.2,0.3,0.5
20251229-124825_seed8_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5332799334400041,0.5234209531580043,-0.00985898028199983,0.2,0.3,0.5
20251229-124923_seed9_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5328599342800041,0.541764916470003,0.008904982189998911,0.2,0.3,0.5
20251229-125020_seed10_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5341799316400041,0.5315729368540044,-0.0026069947859996834,0.2,0.3,0.5
20251229-125117_seed11_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5335199329600043,0.5385189229620033,0.004998990001998993,0.2,0.3,0.5
20251229-125214_seed12_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5334999330000041,0.5495609008780008,0.016060967877996712,0.2,0.3,0.5
20251229-125312_seed13_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5340199319600043,0.5385579228840034,0.004537990923999091,0.2,0.3,0.5
20251229-125409_seed14_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5328399343200038,0.5448009103980017,0.011960976077997953,0.2,0.3,0.5
20251229-125506_seed15_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5333399333200043,0.5415109169780024,0.008170983657998065,0.2,0.3,0.5
20251229-125603_seed16_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5331799336400038,0.5340849318300039,0.0009049981900001169,0.2,0.3,0.5
20251229-125700_seed17_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5331399337200045,0.5264939470120044,-0.006645986708000096,0.2,0.3,0.5
20251229-125758_seed18_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5325799348400045,0.5524238951520002,0.019843960311995645,0.2,0.3,0.5
20251229-125856_seed19_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5329799340400038,0.5269929460140027,-0.005986988026001061,0.2,0.3,0.5
20251229-125954_seed20_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5332999334000041,0.5201289597420041,-0.013170973658000018,0.2,0.3,0.5
