run_id,cycle,tau_t,sigma_t,switch_cycle,tau,sigma,tau_after,sigma_after,s1,s2,peer_signal,price_1,markup_1,unit_cost_1,quantity_1,profit_1,elasticity_1,price_2,markup_2,unit_cost_2,quantity_2,profit_2,elasticity_2,rho,gamma,delta
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5180599638800041,0.481940036119996,0.5180599638800041,1.0945,0.1,0.995,259.029981940002,,,1.1605,0.1,1.055,240.97001805999798,,,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.539359921280003,0.46064007871999707,0.539359921280003,1.0965945846197698,0.10210511017062292,0.995,269.67996064000147,,8.03718855855776,2.157474999999999,1.0449999999999993,1.055,230.32003935999853,,0.8443249017507679,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6421397157200004,0.3578602842799996,0.6421397157200004,1.0920676383464276,0.09755541542354539,0.995,321.0698578600002,,90.99915665241622,3.104601249999998,1.9427499999999984,1.055,178.93014213999982,,0.4179051370363322,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7112595774800003,0.2887404225199997,0.7112595774800003,1.089314151351308,0.0947880918103599,0.995,355.62978874000015,,24.691661651257824,4.004371187499998,2.7956124999999976,1.055,144.37021125999985,,0.5939035884793509,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7574394851199987,0.24256051488000127,0.7574394851199987,1.0866791872644335,0.09213988669792313,0.995,378.71974255999936,,24.909722876306976,4.8591526281249955,3.6058318749999967,1.055,121.28025744000064,,0.6867328611808058,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7897194205599999,0.21028057944000011,0.7897194205599999,1.0851605741238868,0.09061364233556465,0.995,394.85971027999994,,17.229814313303038,5.671194996718745,4.375540281249996,1.055,105.14028972000006,,0.739159491767214,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8137593724799993,0.18624062752000065,0.8137593724799993,1.0830863443227994,0.08852898926914526,0.995,406.87968623999967,,21.441294428888597,6.442635246882807,5.106763267187495,1.055,93.12031376000033,,0.7861966595492276,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8321193357599995,0.16788066424000045,0.8321193357599995,1.0833486856027459,0.08879264884698086,0.995,416.0596678799998,,11.660732950937327,7.175503484538666,5.8014251038281195,1.055,83.94033212000022,,0.8141397459601174,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8462993073999984,0.1537006926000016,0.8462993073999984,1.0796547019417493,0.08508010245401922,0.995,423.1496536999992,,69.76765142465254,7.871728310311732,6.461353848636713,1.055,76.85034630000081,,0.8193630087128804,0.2,0.7,0.5
20251229-175913_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8577992843999993,0.14220071560000064,0.8577992843999993,1.0922776730931647,0.09776650562127112,0.995,428.8996421999997,,3.9515227227229444,8.533141894796145,7.088286156204876,1.055,71.10035780000032,,0.8399569844748032,0.2,0.7,0.5
