run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251229-094136_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600038,0.530316939366004,-0.004602990793999839,0.1,0.5,0.5
20251229-094234_seed2_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.5317389365220042,-0.002700994598000106,0.1,0.5,0.5
20251229-094334_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400046,0.527719944560002,-0.007059985880002562,0.1,0.5,0.5
20251229-094433_seed4_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,130,0.1,0.05,90,0.0,0.0,20,3,0.534899930200004,0.5432009135980017,0.008300983397997674,0.1,0.5,0.5
20251229-094531_seed5_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,130,0.1,0.05,90,0.0,0.0,20,3,0.534939930120004,0.5252139495720027,-0.009725980548001223,0.1,0.5,0.5
20251229-094629_seed6_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5350199299600041,0.5256559486880041,-0.009363981272,0.1,0.5,0.5
20251229-094727_seed7_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400034,0.5334079331840037,-0.0013719972559996796,0.1,0.5,0.5
20251229-094824_seed8_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,130,0.1,0.05,90,0.0,0.0,20,3,0.535039929920004,0.5369919260160041,0.0019519960960000526,0.1,0.5,0.5
20251229-094922_seed9_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344279311440043,0.5506898986200002,0.016261967475995842,0.1,0.5,0.5
20251229-095019_seed10_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5357799284400035,0.5364619270760018,0.000681998635998271,0.1,0.5,0.5
20251229-095117_seed11_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,130,0.1,0.05,90,0.0,0.0,20,3,0.535439929120004,0.5386249227500032,0.0031849936299991333,0.1,0.5,0.5
20251229-095214_seed12_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5352399295200032,0.5209269581460036,-0.014312971373999561,0.1,0.5,0.5
20251229-095312_seed13_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5353199293600037,0.5161729676540032,-0.019146961706000498,0.1,0.5,0.5
20251229-095410_seed14_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5346399307200038,0.5366739266520019,0.002033995931998045,0.1,0.5,0.5
20251229-095507_seed15_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600043,0.5222759554480032,-0.012643974712001071,0.1,0.5,0.5
20251229-095605_seed16_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200034,0.513053973892003,-0.021385957228000407,0.1,0.5,0.5
20251229-095703_seed17_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,130,0.1,0.05,90,0.0,0.0,20,3,0.534759930480004,0.5219709560580037,-0.012788974422000332,0.1,0.5,0.5
20251229-100336_seed18_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,130,0.1,0.05,90,0.0,0.0,20,3,0.533979932040004,0.5378119243760031,0.003831992335999068,0.1,0.5,0.5
20251229-100434_seed19_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5345399309200036,0.5250289499420042,-0.009510980977999406,0.1,0.5,0.5
20251229-100531_seed20_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349999300000043,0.5522698954600008,0.017269965459996484,0.1,0.5,0.5
