run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta
20251223-143926_seed1_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,1,500,100,0.0,0.0,,0.0,0.0,20,,0.5349199301600038,0.5349199301600038,0.0
20251223-144009_seed2_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,2,500,100,0.0,0.0,,0.0,0.0,20,,0.5344399311200043,0.5344399311200043,0.0
20251223-144053_seed3_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,3,500,100,0.0,0.0,,0.0,0.0,20,,0.5347799304400046,0.5347799304400046,0.0
20251223-144136_seed4_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,4,500,100,0.0,0.0,,0.0,0.0,20,,0.534899930200004,0.534899930200004,0.0
20251223-144219_seed5_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,5,500,100,0.0,0.0,,0.0,0.0,20,,0.534939930120004,0.534939930120004,0.0
20251223-144302_seed6_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,6,500,100,0.0,0.0,,0.0,0.0,20,,0.5350199299600041,0.5350199299600041,0.0
20251223-144345_seed7_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,7,500,100,0.0,0.0,,0.0,0.0,20,,0.5347799304400034,0.5347799304400034,0.0
20251223-144428_seed8_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,8,500,100,0.0,0.0,,0.0,0.0,20,,0.535039929920004,0.535039929920004,0.0
20251223-144512_seed9_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,9,500,100,0.0,0.0,,0.0,0.0,20,,0.5344399311200043,0.5344399311200043,0.0
20251223-144555_seed10_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,10,500,100,0.0,0.0,,0.0,0.0,20,,0.5357799284400035,0.5357799284400035,0.0
20251223-144639_seed11_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,11,500,100,0.0,0.0,,0.0,0.0,20,,0.535439929120004,0.535439929120004,0.0
20251223-144722_seed12_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,12,500,100,0.0,0.0,,0.0,0.0,20,,0.5352399295200032,0.5352399295200032,0.0
20251223-144805_seed13_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,13,500,100,0.0,0.0,,0.0,0.0,20,,0.5353199293600037,0.5353199293600037,0.0
20251223-144849_seed14_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,14,500,100,0.0,0.0,,0.0,0.0,20,,0.5346399307200038,0.5346399307200038,0.0
20251223-144932_seed15_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,15,500,100,0.0,0.0,,0.0,0.0,20,,0.5349199301600043,0.5349199301600043,0.0
20251223-145016_seed16_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,16,500,100,0.0,0.0,,0.0,0.0,20,,0.5344399311200034,0.5344399311200034,0.0
20251223-145059_seed17_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,17,500,100,0.0,0.0,,0.0,0.0,20,,0.534759930480004,0.534759930480004,0.0
20251223-145142_seed18_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,18,500,100,0.0,0.0,,0.0,0.0,20,,0.533979932040004,0.533979932040004,0.0
20251223-145225_seed19_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,19,500,100,0.0,0.0,,0.0,0.0,20,,0.5345399309200036,0.5345399309200036,0.0
20251223-145309_seed20_N500_T100_tau0.0_sig0.0_scNone_tauA0.0_sigA0.0,20,500,100,0.0,0.0,,0.0,0.0,20,,0.5349999300000043,0.5349999300000043,0.0
