run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251224-130104_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5287599424800045,0.6112317775360006,0.08247183505599609,0.2,0.5,0.3
20251224-130148_seed2_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5289799420400046,0.6116337767320009,0.08265383469199628,0.2,0.5,0.3
20251224-130232_seed3_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5286999426000049,0.595363809272001,0.0666638666719962,0.2,0.5,0.3
20251224-130316_seed4_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5291599416800048,0.6070917858160014,0.07793184413599663,0.2,0.5,0.3
20251224-130401_seed5_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5284999430000046,0.6088287823420013,0.08032883934199675,0.2,0.5,0.3
20251224-130445_seed6_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5289199421600046,0.6013497973000017,0.07242985513999711,0.2,0.5,0.3
20251224-130529_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5282599434800043,0.5750648498699998,0.04680490638999557,0.2,0.5,0.3
20251224-130613_seed8_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5289199421600042,0.6069447861100017,0.07802484394999754,0.2,0.5,0.3
20251224-130657_seed9_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5285999428000044,0.6077107845780019,0.07911084177799743,0.2,0.5,0.3
20251224-130741_seed10_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5293799412400049,0.6105307789380011,0.08115083769799625,0.2,0.5,0.3
20251224-130826_seed11_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5293599412800046,0.6092427815140012,0.07988284023399661,0.2,0.5,0.3
20251224-130911_seed12_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5295199409600044,0.610909778180001,0.0813898372199966,0.2,0.5,0.3
20251224-130956_seed13_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5294399411200045,0.6034537930920016,0.07401385197199717,0.2,0.5,0.3
20251224-131040_seed14_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5285799428400041,0.6115007769980014,0.08292083415799734,0.2,0.5,0.3
20251224-131124_seed15_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5288199423600048,0.5986018027960015,0.06978186043599666,0.2,0.5,0.3
20251224-131209_seed16_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5285399429200048,0.609160781678001,0.0806208387579962,0.2,0.5,0.3
20251224-131254_seed17_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5285599428800045,0.6041717916560018,0.07561184877599725,0.2,0.5,0.3
20251224-131338_seed18_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5278599442800048,0.6086857826280015,0.08082583834799673,0.2,0.5,0.3
20251224-131423_seed19_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5284999430000041,0.6021427957140015,0.0736428527139974,0.2,0.5,0.3
20251224-131507_seed20_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5286199427600042,0.6075887848220016,0.07896884206199739,0.2,0.5,0.3
