run_id,cycle,tau_t,sigma_t,switch_cycle,tau,sigma,tau_after,sigma_after,s1,s2,peer_signal,price_1,markup_1,unit_cost_1,quantity_1,profit_1,elasticity_1,price_2,markup_2,unit_cost_2,quantity_2,profit_2,elasticity_2
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5180599638800041,0.481940036119996,0.5180599638800041,1.0945,0.1,0.995,259.029981940002,,,1.1605,0.1,1.055,240.97001805999798,,
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5440399119200016,0.4559600880799984,0.5440399119200016,1.0952042820508765,0.10070782115665995,0.995,272.0199559600008,,9.75991006509716,2.157474999999999,1.0449999999999993,1.055,227.9800440399992,,1.0349772926414997
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6458397083200006,0.3541602916799994,0.6458397083200006,1.0903818033226833,0.09586110886701853,0.995,322.9198541600003,,266.0006700766142,3.104601249999998,1.9427499999999984,1.055,177.08014583999972,,0.41820208436881595
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7142195715600004,0.28578042843999957,0.7142195715600004,1.0878962903528722,0.09336310588228373,0.995,357.1097857800002,,22.785994395155885,4.004371187499998,2.7956124999999976,1.055,142.8902142199998,,0.5936599425199196
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7592594814799989,0.24074051852000117,0.7592594814799989,1.0851806190405753,0.09063378798047783,0.995,379.6297407399994,,26.788650558504315,4.8591526281249955,3.6058318749999967,1.055,120.37025926000058,,0.6758607271409481
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7907594184799995,0.20924058152000044,0.7907594184799995,1.083931345110351,0.08937823629181012,0.995,395.3797092399998,,16.261873712434443,5.671194996718745,4.375540281249996,1.055,104.62029076000022,,0.7258831982758176
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8144393711199995,0.1855606288800004,0.8144393711199995,1.0815059906578677,0.08694069412851028,0.995,407.2196855599998,,25.613934725386493,6.442635246882807,5.106763267187495,1.055,92.78031444000021,,0.7777971955544042
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8324593350799998,0.16754066492000017,0.8324593350799998,1.0828539794642156,0.08829545674795537,0.995,416.2296675399999,,9.769164728661343,7.175503484538666,5.8014251038281195,1.055,83.77033246000008,,0.8013713245223588
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8461193077599984,0.1538806922400015,0.8461193077599984,1.0825843471177579,0.08802446946508329,0.995,423.05965387999925,,13.066261475667329,7.871728310311732,6.461353848636713,1.055,76.94034612000075,,0.7897087581138169
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8574992849999993,0.1425007150000007,0.8574992849999993,1.0791501086282749,0.08457297349575361,0.995,428.74964249999965,,53.64668001441301,8.533141894796145,7.088286156204876,1.055,71.25035750000035,,0.829846073922915
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8667392665199996,0.13326073348000045,0.8667392665199996,1.0959056157650813,0.10141267916088574,0.995,433.3696332599998,,3.373227599711536,9.161484800056336,7.683871848394631,1.055,66.63036674000023,,0.8310692991749536
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8743992511999997,0.12560074880000024,0.8743992511999997,2.0361103349768266,1.0463420452028407,0.995,437.1996255999999,,0.5710937255780076,9.758410560053516,8.249678255974898,1.055,62.80037440000012,,0.8333072423584107
20251224-133703_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8710192579599995,0.12898074204000057,0.8710192579599995,2.9293048182279846,1.944024942942698,0.995,435.5096289799997,,0.2,10.32549003205084,8.787194343176152,1.055,64.49037102000028,,0.4208113213321665
