run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251224-092240_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5366799266400034,0.5880258239480005,0.0513458973079971,0.2,0.7,0.5
20251224-092324_seed2_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5368599262800033,0.62393475213,0.0870748258499967,0.2,0.7,0.5
20251224-092408_seed3_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5365599268800041,0.5388029223940007,0.0022429955139966484,0.2,0.7,0.5
20251224-092452_seed4_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5370399259200033,0.6252447495100004,0.08820482358999715,0.2,0.7,0.5
20251224-092536_seed5_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5367399265200035,0.6226097547800004,0.0858698282599969,0.2,0.7,0.5
20251224-092619_seed6_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5368399263200041,0.6225407549180001,0.08570082859799599,0.2,0.7,0.5
20251224-092703_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5364999270000032,0.6210377579240002,0.08453783092399703,0.2,0.7,0.5
20251224-092747_seed8_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5364799270400039,0.6228407543180003,0.08636082727799643,0.2,0.7,0.5
20251224-092831_seed9_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5363599272800037,0.540611918776,0.00425199149599631,0.2,0.7,0.5
20251224-092915_seed10_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5376599246800033,0.5517198965599994,0.01405997187999608,0.2,0.7,0.5
20251224-092959_seed11_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5371199257600032,0.6228607542779998,0.08574082851799658,0.2,0.7,0.5
20251224-093043_seed12_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5374599250800036,0.6234297531400003,0.08596982805999664,0.2,0.7,0.5
20251224-093127_seed13_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5376399247200034,0.5475399049200009,0.009899980199997493,0.2,0.7,0.5
20251224-093211_seed14_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5362599274800033,0.5297769404460001,-0.006482987034003185,0.2,0.7,0.5
20251224-093255_seed15_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5364799270400036,0.6204847590300002,0.08400483198999664,0.2,0.7,0.5
20251224-093340_seed16_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5364199271600031,0.6189717620560005,0.08255183489599738,0.2,0.7,0.5
20251224-100424_seed17_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5366799266400034,0.6218557562880002,0.08517582964799675,0.2,0.7,0.5
20251224-100746_seed18_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5358199283600029,0.6200437599120002,0.08422383155199731,0.2,0.7,0.5
20251224-100830_seed19_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,100,0.1,0.05,90,0.0,0.0,20,3,0.536659926680003,0.6233457533079998,0.08668582662799684,0.2,0.7,0.5
20251224-100914_seed20_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5368799262400039,0.6174247651500002,0.08054483890999631,0.2,0.7,0.5
