run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600038,0.5733538532919996,0.038433923131995784,0.3,0.5,0.5
20251224-074926_seed2_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.6178537642920003,0.08341383317199602,0.3,0.5,0.5
20251224-075010_seed3_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400046,0.6150377699240005,0.0802578394839959,0.3,0.5,0.5
20251224-075055_seed4_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534899930200004,0.618042763914001,0.083142833713997,0.3,0.5,0.5
20251224-075140_seed5_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534939930120004,0.6094927810140011,0.0745528508939971,0.3,0.5,0.5
20251224-075227_seed6_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5350199299600041,0.5695298609400001,0.034509930979995995,0.3,0.5,0.5
20251224-075314_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400034,0.5788108423780006,0.04403091193799724,0.3,0.5,0.5
20251224-075400_seed8_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,100,0.1,0.05,90,0.0,0.0,20,3,0.535039929920004,0.6155467689060006,0.08050683898599653,0.3,0.5,0.5
20251224-075445_seed9_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.6153627692740006,0.08092283815399626,0.3,0.5,0.5
20251224-075530_seed10_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5357799284400035,0.5672028655940007,0.03142293715399713,0.3,0.5,0.5
20251224-075617_seed11_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,100,0.1,0.05,90,0.0,0.0,20,3,0.535439929120004,0.5609998780000001,0.02555994887999602,0.3,0.5,0.5
20251224-075703_seed12_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5352399295200032,0.6156567686860009,0.08041683916599773,0.3,0.5,0.5
20251224-075748_seed13_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5353199293600037,0.6020807958380014,0.06676086647799773,0.3,0.5,0.5
20251224-075833_seed14_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5346399307200038,0.5828088343820005,0.048168903661996665,0.3,0.5,0.5
20251224-075921_seed15_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600043,0.609357781284001,0.0744378511239967,0.3,0.5,0.5
20251224-080009_seed16_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200034,0.6130667738660007,0.0786268427459973,0.3,0.5,0.5
20251224-080055_seed17_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534759930480004,0.6194377611240008,0.08467783064399681,0.3,0.5,0.5
20251224-080141_seed18_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,100,0.1,0.05,90,0.0,0.0,20,3,0.533979932040004,0.5963248073500015,0.06234487530999744,0.3,0.5,0.5
20251224-080229_seed19_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5345399309200036,0.6147027705940002,0.08016283967399662,0.3,0.5,0.5
20251224-080314_seed20_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349999300000043,0.614002771994001,0.07900284199399665,0.3,0.5,0.5
